Results for prediction length: 25
Experiment 28: ADE_a: 0.3057±0.0986, ADE_b: 0.4600±0.1047, ADE_c: 1.3591±0.3642, ADE_c: 0.2397±0.0107, FDE_a: 0.6345±0.0783, FDE_b: 0.5627±0.0233, FDE_c: 4.5576±0.8652, FDE_d: 0.5627±0.0238
Experiment 29: ADE_a: 0.3001±0.0963, ADE_b: 0.4512±0.1049, ADE_c: 1.3849±0.3788, ADE_c: 0.2396±0.0106, FDE_a: 0.6323±0.0787, FDE_b: 0.5641±0.0205, FDE_c: 4.7079±1.0745, FDE_d: 0.5626±0.0217
Experiment 30: ADE_a: 0.3046±0.0942, ADE_b: 0.4482±0.0989, ADE_c: 1.3578±0.3766, ADE_c: 0.2417±0.0119, FDE_a: 0.6349±0.0790, FDE_b: 0.5656±0.0252, FDE_c: 4.6206±0.9731, FDE_d: 0.5662±0.0265
Experiment 31: ADE_a: 0.3030±0.0947, ADE_b: 0.4523±0.0945, ADE_c: 1.3681±0.3811, ADE_c: 0.2428±0.0095, FDE_a: 0.6331±0.0771, FDE_b: 0.5690±0.0186, FDE_c: 4.7100±1.1070, FDE_d: 0.5690±0.0191
Experiment 32: ADE_a: 0.3010±0.0945, ADE_b: 0.4499±0.0917, ADE_c: 1.3585±0.3853, ADE_c: 0.2441±0.0082, FDE_a: 0.6290±0.0660, FDE_b: 0.5725±0.0161, FDE_c: 4.6566±1.0449, FDE_d: 0.5715±0.0177
Experiment 33: ADE_a: 0.3028±0.0932, ADE_b: 0.4429±0.0901, ADE_c: 1.3444±0.3956, ADE_c: 0.2441±0.0093, FDE_a: 0.6245±0.0687, FDE_b: 0.5725±0.0194, FDE_c: 4.5640±0.9465, FDE_d: 0.5722±0.0207
Experiment 34: ADE_a: 0.3065±0.0917, ADE_b: 0.4465±0.0868, ADE_c: 1.3363±0.3999, ADE_c: 0.2436±0.0101, FDE_a: 0.6249±0.0736, FDE_b: 0.5703±0.0214, FDE_c: 4.5311±0.9287, FDE_d: 0.5700±0.0222
Experiment 35: ADE_a: 0.3072±0.0962, ADE_b: 0.4453±0.0845, ADE_c: 1.3198±0.4075, ADE_c: 0.2440±0.0104, FDE_a: 0.6437±0.0879, FDE_b: 0.5706±0.0226, FDE_c: 4.4414±0.8701, FDE_d: 0.5722±0.0229
Experiment 36: ADE_a: 0.3053±0.0929, ADE_b: 0.4390±0.0879, ADE_c: 1.3048±0.4103, ADE_c: 0.2458±0.0098, FDE_a: 0.6282±0.0819, FDE_b: 0.5754±0.0188, FDE_c: 4.3462±0.8199, FDE_d: 0.5751±0.0194
Experiment 37: ADE_a: 0.3090±0.0944, ADE_b: 0.4413±0.0819, ADE_c: 1.2902±0.4215, ADE_c: 0.2477±0.0108, FDE_a: 0.6297±0.0717, FDE_b: 0.5778±0.0230, FDE_c: 4.2750±0.8281, FDE_d: 0.5794±0.0251
Experiment 38: ADE_a: 0.3070±0.0957, ADE_b: 0.4360±0.0847, ADE_c: 1.2870±0.4271, ADE_c: 0.2455±0.0089, FDE_a: 0.6205±0.0713, FDE_b: 0.5727±0.0185, FDE_c: 4.2735±0.8357, FDE_d: 0.5728±0.0191
Experiment 39: ADE_a: 0.3119±0.0929, ADE_b: 0.4329±0.0813, ADE_c: 1.2864±0.4363, ADE_c: 0.2469±0.0121, FDE_a: 0.6359±0.0615, FDE_b: 0.5742±0.0262, FDE_c: 4.2618±0.8559, FDE_d: 0.5773±0.0274
Experiment 40: ADE_a: 0.3078±0.0982, ADE_b: 0.4331±0.0800, ADE_c: 1.2763±0.4405, ADE_c: 0.2461±0.0103, FDE_a: 0.6259±0.0824, FDE_b: 0.5744±0.0234, FDE_c: 4.1749±0.8646, FDE_d: 0.5755±0.0245
Experiment 41: ADE_a: 0.3089±0.0937, ADE_b: 0.4316±0.0791, ADE_c: 1.2870±0.4464, ADE_c: 0.2475±0.0089, FDE_a: 0.6284±0.0767, FDE_b: 0.5758±0.0183, FDE_c: 4.2512±0.8638, FDE_d: 0.5780±0.0193
Experiment 42: ADE_a: 0.3039±0.0981, ADE_b: 0.4368±0.0769, ADE_c: 1.2702±0.4532, ADE_c: 0.2474±0.0093, FDE_a: 0.6106±0.0841, FDE_b: 0.5782±0.0218, FDE_c: 4.1436±0.8925, FDE_d: 0.5757±0.0218
Experiment 43: ADE_a: 0.3082±0.0969, ADE_b: 0.4285±0.0814, ADE_c: 1.2739±0.4598, ADE_c: 0.2453±0.0098, FDE_a: 0.6161±0.0792, FDE_b: 0.5713±0.0219, FDE_c: 4.1702±0.9014, FDE_d: 0.5730±0.0226
Experiment 44: ADE_a: 0.3090±0.0989, ADE_b: 0.4277±0.0796, ADE_c: 1.2640±0.4622, ADE_c: 0.2465±0.0086, FDE_a: 0.6209±0.0772, FDE_b: 0.5740±0.0179, FDE_c: 4.1208±0.9114, FDE_d: 0.5756±0.0173
Experiment 45: ADE_a: 0.3078±0.0987, ADE_b: 0.4269±0.0835, ADE_c: 1.2725±0.4611, ADE_c: 0.2473±0.0088, FDE_a: 0.6076±0.0752, FDE_b: 0.5763±0.0190, FDE_c: 4.1685±0.8977, FDE_d: 0.5759±0.0183
Experiment 46: ADE_a: 0.3083±0.1018, ADE_b: 0.4279±0.0832, ADE_c: 1.2654±0.4667, ADE_c: 0.2481±0.0083, FDE_a: 0.6099±0.0813, FDE_b: 0.5785±0.0166, FDE_c: 4.1426±0.9127, FDE_d: 0.5788±0.0177
Experiment 47: ADE_a: 0.3102±0.0994, ADE_b: 0.4245±0.0829, ADE_c: 1.2648±0.4794, ADE_c: 0.2487±0.0106, FDE_a: 0.6042±0.0730, FDE_b: 0.5782±0.0215, FDE_c: 4.1192±0.9437, FDE_d: 0.5779±0.0208
Experiment 48: ADE_a: 0.3158±0.1095, ADE_b: 0.4222±0.0877, ADE_c: 1.2712±0.4726, ADE_c: 0.2472±0.0097, FDE_a: 0.6071±0.0772, FDE_b: 0.5766±0.0188, FDE_c: 4.1363±0.9212, FDE_d: 0.5782±0.0191
